"Event no.";"Title";"Venue codes";"Venue";"City";"Promoter no.";"Promoter";"Provider";"Tour title";"Event time";"FC";"Ticket layout";"Continuous event"
"335";"NINA PUŠLAR GRAD BREŽICE";"174";"Grad Brežice";"Brežice";"11573";"80:AGENCIJA URAN d.o.o.";"80:Eventim Si d.o.o.";"NINA PUŠLAR GRAD BREŽICE";"Fri, 08/09/2019 21:00";"1";"ET_SVN-veliki logo";"No"
"344";"Mednarodni ansambel Il Terzo Suono";"79";"KRIŽANKE";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Mednarodni ansambel Il Terzo Suono";"Fri, 08/09/2019 20:00";"1";"Festival Ljubljana";"No"
"1";"SEVERINA IN MODRIJANI";"1182";"Nogometno igrišèe Juršinci";"Juršinci";"11633";"80:ŠPORTNO DRUŠTVO JURŠINCI";"80:Eventim Si d.o.o.";"SEVERINA IN MODRIJANI";"Fri, 08/09/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"41";"TrNOVfest - Nipke & N'toko";"1161";"Center Slovanskih Kultur France Prešeren";"Ljubljana";"11603";"80:DRUSTVO TRNFEST";"80:Eventim Si d.o.o.";"Nipke & N'toko";"Fri, 08/09/2019 20:00";"1";"SVN - OK NOV";"No"
"37";"Konjeniški šov z Magnificent Maelle";"593";"KOBILARNA LIPICA";"Sežana";"11015";"80:Holding Kobilarna Lipica, d.o.o.";"80:Eventim Si d.o.o.";"Konjeniški šov z Magnificent Maelle";"Fri, 08/09/2019 15:00";"1";"SVN - OK NOV";"No"
"1";"Hi Festival: Reveal your True Colors";"1176";"Ojstro";"Hrastnik";"11394";"80:EVENT24 d. o. o.";"80:Eventim Si d.o.o.";"Hi Festival: Reveal your True Colors";"Fri, 08/09/2019 10:00";"1";"ET_SVN-veliki logo";"Yes"
"7";"PIKNIK KINO: Zvezda je rojena";"1193";"Veslaški center Mala Zaka";"Bled";"11623";"80:KULTURNO DRUŠTVO KGB";"80:Eventim Si d.o.o.";"PIKNIK KINO";"Thu, 08/08/2019 21:00";"1";"SVN - OK NOV";"No"
"6";"Vadym Kholodenko - klavir, Alena Baeva - violina";"941";"Narodna galerija";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Vadym Kholodenko, klavir";"Thu, 08/08/2019 20:00";"1";"Festival Ljubljana";"No"
"40";"TrNOVfest - Manouche & Glam Night";"1161";"Center Slovanskih Kultur France Prešeren";"Ljubljana";"11603";"80:DRUSTVO TRNFEST";"80:Eventim Si d.o.o.";"Manouche & Glam Night";"Thu, 08/08/2019 20:00";"1";"SVN - OK NOV";"No"
"17";"DITKA";"1070";"Pokrajinski muzej Koper";"Koper";"10693";"80:Agencija Easy";"80:Eventim Si d.o.o.";"Poletje z biseri / Perle d'estate 2019";"Wed, 08/07/2019 21:00";"1";"SVN - OK NOV";"No"
"9";"PIKNIK KINO: HITRI IN DRZNI: HOBBS IN SHAW";"1194";"BTC, VODNO MESTO ATLANTIS";"LJUBLJANA";"11623";"80:KULTURNO DRUŠTVO KGB";"80:Eventim Si d.o.o.";"PIKNIK KINO";"Wed, 08/07/2019 21:00";"1";"SVN - OK NOV";"No"
"75";"DARJA ŠVAJGER in pianist Jaka Pucihar - Glasbeni veèeri pod grajsko lipo 2019";"210";"Letno gledališèe Khislstein";"Kranj";"11479";"80:DreamArt d.o.o.";"80:Eventim Si d.o.o.";"DARJA ŠVAJGER in pianist Jaka Pucihar";"Wed, 08/07/2019 20:30";"1";"ET_SVN-veliki logo";"No"
"342";"Vadym Kholodenko, klavir";"79";"KRIŽANKE";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Vadym Kholodenko, klavir";"Wed, 08/07/2019 20:00";"1";"Festival Ljubljana";"No"
"39";"TrNOVfest - Noctiferia & Kiwi Flash";"1161";"Center Slovanskih Kultur France Prešeren";"Ljubljana";"11603";"80:DRUSTVO TRNFEST";"80:Eventim Si d.o.o.";"Noctiferia & Kiwi Flash";"Wed, 08/07/2019 20:00";"1";"SVN - OK NOV";"No"
"659";"ED SHEERAN/ Sziget(Budimpešta) vstopnica+prevoz";"171";"VOUCHER";"Vstopnica za koncert/prevoz/vodenje";"10007";"80:CONCERT FREAK, TADEJ KOŠMERL S.P.";"80:Eventim Si d.o.o.";"ED SHEERAN - Sziget";"Wed, 08/07/2019 07:00";"0";"ET_SVN_PREVOZI";"No"
"13";"PIKNIK KINO: RAZISKOVALKA DORA, premiera";"1194";"BTC, VODNO MESTO ATLANTIS";"LJUBLJANA";"11623";"80:KULTURNO DRUŠTVO KGB";"80:Eventim Si d.o.o.";"PIKNIK KINO";"Tue, 08/06/2019 21:00";"1";"SVN - OK NOV";"No"
"5";"Slike z razstave, Kitara: Mak Grgiè";"941";"Narodna galerija";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Slike z razstave, Kitara: Mak Grgiè";"Tue, 08/06/2019 20:00";"1";"Festival Ljubljana";"No"
"38";"TrNOVfest - Zabranjeno pušenje & Imperij";"1161";"Center Slovanskih Kultur France Prešeren";"Ljubljana";"11603";"80:DRUSTVO TRNFEST";"80:Eventim Si d.o.o.";"Zabranjeno pušenje & Imperij";"Tue, 08/06/2019 20:00";"1";"SVN - OK NOV";"No"
"36";"Konjeniški šov z Magnificent Maelle";"593";"KOBILARNA LIPICA";"Sežana";"11015";"80:Holding Kobilarna Lipica, d.o.o.";"80:Eventim Si d.o.o.";"Konjeniški šov z Magnificent Maelle";"Tue, 08/06/2019 15:00";"1";"SVN - OK NOV";"No"
"8";"PIKNIK KINO: HITRI IN DRZNI: HOBBS IN SHAW";"1194";"BTC, VODNO MESTO ATLANTIS";"LJUBLJANA";"11623";"80:KULTURNO DRUŠTVO KGB";"80:Eventim Si d.o.o.";"PIKNIK KINO";"Mon, 08/05/2019 21:00";"1";"SVN - OK NOV";"No"
"349";"Koncert prof. trobente Mozart con Tromba";"941";"Narodna galerija";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Koncert prof. trobente Mozart con Tromba";"Mon, 08/05/2019 20:00";"1";"Festival Ljubljana";"No"
"37";"TrNOVfest - Moonlight Sky & DaBlaBlues + DJ Iggy";"1161";"Center Slovanskih Kultur France Prešeren";"Ljubljana";"11603";"80:DRUSTVO TRNFEST";"80:Eventim Si d.o.o.";"Moonlight Sky & DaBlaBlues + DJ Iggy";"Mon, 08/05/2019 20:00";"1";"SVN - OK NOV";"No"
"145";"NK Olimpija Ljubljana : NK Triglav Kranj";"68";"Stadion Stožice";"Ljubljana";"10283";"80:FC OLIMPIJA d.o.o.";"80:Eventim Si d.o.o.";"NK OLIMPIJA - SEZONA 2019/2020";"Sun, 08/04/2019 20:15";"1";"ET_SVN-veliki logo";"No"
"35";"TrNOVfest - Party, Douchean & Lim Nylon & Ofnana_pesa";"1161";"Center Slovanskih Kultur France Prešeren";"Ljubljana";"11603";"80:DRUSTVO TRNFEST";"80:Eventim Si d.o.o.";"Douchean & Lim Nylon & Ofnana_pesa";"Sun, 08/04/2019 20:00";"1";"SVN - OK NOV";"No"
"35";"Konjeniški šov z Magnificent Maelle";"593";"KOBILARNA LIPICA";"Sežana";"11015";"80:Holding Kobilarna Lipica, d.o.o.";"80:Eventim Si d.o.o.";"Konjeniški šov z Magnificent Maelle";"Sun, 08/04/2019 15:00";"1";"SVN - OK NOV";"No"
